Relation between Centrality and Impact parameter - Ar
b(fm)     Centrality(%)
0     0
0.0533233     0.00345886
0.106647     0.0138354
0.15997     0.0311297
0.213293     0.0553417
0.266616     0.0864714
0.31994     0.124519
0.373263     0.169484
0.426586     0.221367
0.479909     0.280167
0.533233     0.345886
0.586556     0.418522
0.639879     0.498075
0.693202     0.584547
0.746526     0.677936
0.799849     0.778243
0.853172     0.885467
0.906495     0.99961
0.959819     1.12067
1.01314     1.24865
1.06647     1.38354
1.11979     1.52536
1.17311     1.67409
1.22644     1.82974
1.27976     1.9923
1.33308     2.16179
1.3864     2.33819
1.43973     2.52151
1.49305     2.71174
1.54637     2.9089
1.5997     3.11297
1.65302     3.32396
1.70634     3.54187
1.75967     3.76669
1.81299     3.99844
1.86631     4.2371
1.91964     4.48268
1.97296     4.73517
2.02628     4.99459
2.07961     5.26092
2.13293     5.53417
2.18625     5.81434
2.23958     6.10142
2.2929     6.39543
2.34622     6.69635
2.39955     7.00418
2.45287     7.31894
2.50619     7.64061
2.55952     7.96921
2.61284     8.30471
2.66616     8.64714
2.71949     8.99649
2.77281     9.35275
2.82613     9.71593
2.87946     10.086
2.93278     10.463
2.9861     10.847
3.03943     11.2378
3.09275     11.6356
3.14607     12.0403
3.1994     12.4519
3.25272     12.8704
3.30604     13.2958
3.35937     13.7282
3.41269     14.1675
3.46601     14.6137
3.51934     15.0668
3.57266     15.5268
3.62598     15.9938
3.67931     16.4676
3.73263     16.9484
3.78595     17.4361
3.83927     17.9307
3.8926     18.4322
3.94592     18.9407
3.99924     19.4561
4.05257     19.9784
4.10589     20.5076
4.15921     21.0437
4.21254     21.5867
4.26586     22.1367
4.31918     22.6936
4.37251     23.2574
4.42583     23.8281
4.47915     24.4057
4.53248     24.9902
4.5858     25.5817
4.63912     26.1801
4.69245     26.7854
4.74577     27.3976
4.79909     28.0167
4.85242     28.6428
4.90574     29.2758
4.95906     29.9157
5.01239     30.5625
5.06571     31.2162
5.11903     31.8768
5.17236     32.5444
5.22568     33.2189
5.279     33.9003
5.33233     34.5886
5.38565     35.2838
