Relation between Centrality and Impact parameter - Au
b(fm)     Centrality(%)
0     0
0.0963746     0.00404076
0.192749     0.016163
0.289124     0.0363668
0.385498     0.0646521
0.481873     0.101019
0.578248     0.145467
0.674622     0.197997
0.770997     0.258608
0.867372     0.327301
0.963746     0.404076
1.06012     0.488932
1.1565     0.581869
1.25287     0.682888
1.34924     0.791988
1.44562     0.90917
1.54199     1.03443
1.63837     1.16778
1.73474     1.30921
1.83112     1.45871
1.92749     1.6163
2.02387     1.78197
2.12024     1.95573
2.21662     2.13756
2.31299     2.32748
2.40937     2.52547
2.50574     2.73155
2.60211     2.94571
2.69849     3.16795
2.79486     3.39828
2.89124     3.63668
2.98761     3.88317
3.08399     4.13773
3.18036     4.40038
3.27674     4.67111
3.37311     4.94993
3.46949     5.23682
3.56586     5.5318
3.66224     5.83485
3.75861     6.14599
3.85498     6.46521
3.95136     6.79251
4.04773     7.12789
4.14411     7.47136
4.24048     7.82291
4.33686     8.18253
4.43323     8.55024
4.52961     8.92603
4.62598     9.3099
4.72236     9.70186
4.81873     10.1019
4.91511     10.51
5.01148     10.9262
5.10785     11.3505
5.20423     11.7828
5.3006     12.2233
5.39698     12.6718
5.49335     13.1284
5.58973     13.5931
5.6861     14.0659
5.78248     14.5467
5.87885     15.0357
5.97523     15.5327
6.0716     16.0378
6.16798     16.5509
6.26435     17.0722
6.36073     17.6015
6.4571     18.139
6.55347     18.6845
6.64985     19.238
6.74622     19.7997
6.8426     20.3695
6.93897     20.9473
7.03535     21.5332
7.13172     22.1272
7.2281     22.7293
7.32447     23.3394
7.42085     23.9576
7.51722     24.584
7.6136     25.2184
7.70997     25.8608
7.80634     26.5114
7.90272     27.17
7.99909     27.8368
8.09547     28.5116
8.19184     29.1945
8.28822     29.8854
8.38459     30.5845
8.48097     31.2916
8.57734     32.0068
8.67372     32.7301
8.77009     33.4615
8.86647     34.201
8.96284     34.9485
9.05921     35.7041
9.15559     36.4678
9.25196     37.2396
9.34834     38.0195
9.44471     38.8074
9.54109     39.6035
9.63746     40.4076
9.73384     41.2198
9.83021     42.04
9.92659     42.8684
10.023     43.7048
10.1193     44.5493
10.2157     45.4019
10.3121     46.2626
10.4085     47.1314
10.5048     48.0082
10.6012     48.8932
10.6976     49.7862
10.794     50.6873
10.8903     51.5964
10.9867     52.5137
11.0831     53.439
11.1795     54.3724
11.2758     55.3139
11.3722     56.2635
11.4686     57.2212
11.565     58.1869
11.6613     59.1607
11.7577     60.1426
11.8541     61.1326
11.9505     62.1307
12.0468     63.1368
12.1432     64.1511
12.2396     65.1733
12.336     66.2036
12.4323     67.2418
12.5287     68.288
12.6251     69.342
12.7215     70.4033
12.8178     71.4719
12.9142     72.5476
13.0106     73.6284
13.1069     74.7159
13.2033     75.8071
13.2997     76.9016
13.3961     77.9968
13.4924     79.0897
13.5888     80.18
13.6852     81.2638
13.7816     82.3327
13.8779     83.3948
13.9743     84.4392
14.0707     85.4591
14.1671     86.4534
14.2634     87.4224
14.3598     88.3581
14.4562     89.2576
14.5526     90.1179
14.6489     90.9422
14.7453     91.7186
14.8417     92.4583
14.9381     93.1473
15.0344     93.7882
15.1308     94.3875
15.2272     94.9494
15.3236     95.4657
15.4199     95.9344
15.5163     96.3647
15.6127     96.7553
15.7091     97.1106
15.8054     97.4367
15.9018     97.7311
15.9982     97.9916
16.0946     98.225
16.1909     98.4336
16.2873     98.62
16.3837     98.7858
16.4801     98.9339
16.5764     99.0661
16.6728     99.1843
16.7692     99.2901
16.8656     99.378
16.9619     99.4589
17.0583     99.5272
17.1547     99.5898
17.2511     99.6439
17.3474     99.6929
17.4438     99.734
17.5402     99.7696
17.6366     99.7985
17.7329     99.8262
17.8293     99.8488
17.9257     99.8677
18.0221     99.8866
18.1184     99.9013
18.2148     99.9142
18.3112     99.9262
18.4076     99.9373
18.5039     99.945
18.6003     99.9517
18.6967     99.9585
18.7931     99.9644
18.8894     99.9693
18.9858     99.973
19.0822     99.9766
19.1785     99.9795
19.2749     99.9823
19.3713     99.9849
19.4677     99.9874
19.564     99.9891
19.6604     99.9905
19.7568     99.9918
19.8532     99.9931
19.9495     99.9942
20.0459     99.9951
20.1423     99.9957
20.2387     99.9965
20.335     99.997
20.4314     99.9972
20.5278     99.9976
20.6242     99.998
20.7205     99.9983
20.8169     99.9986
20.9133     99.9988
21.0097     99.999
21.106     99.9992
21.2024     99.9993
21.2988     99.9995
21.3952     99.9996
21.4915     99.9996
21.5879     99.9997
21.6843     99.9997
21.7807     99.9998
21.877     99.9998
21.9734     99.9998
22.0698     99.9999
22.1662     99.9999
22.2625     99.9999
22.3589     99.9999
22.4553     100
22.5517     100
22.648     100
22.7444     100
22.8408     100
22.9372     100
