Relation between Centrality and Impact parameter - Ca w/ sigmaNN=70mb
b(fm)     Centrality(%)
0     0
0.0568882     0.00380039
0.113776     0.0152015
0.170665     0.0342035
0.227553     0.0608062
0.284441     0.0950097
0.341329     0.136814
0.398218     0.186219
0.455106     0.243225
0.511994     0.307831
0.568882     0.380039
0.62577     0.459847
0.682659     0.547256
0.739547     0.642265
0.796435     0.744876
0.853323     0.855087
0.910211     0.972899
0.9671     1.09831
1.02399     1.23133
1.08088     1.37194
1.13776     1.52015
1.19465     1.67597
1.25154     1.83939
1.30843     2.0104
1.36532     2.18902
1.42221     2.37524
1.47909     2.56906
1.53598     2.77048
1.59287     2.9795
1.64976     3.19612
1.70665     3.42035
1.76353     3.65217
1.82042     3.8916
1.87731     4.13862
1.9342     4.39325
1.99109     4.65547
2.04798     4.9253
2.10486     5.20273
2.16175     5.48776
2.21864     5.78039
2.27553     6.08062
2.33242     6.38845
2.38931     6.70388
2.44619     7.02691
2.50308     7.35755
2.55997     7.69578
2.61686     8.04162
2.67375     8.39505
2.73063     8.75609
2.78752     9.12473
2.84441     9.50097
2.9013     9.8848
2.95819     10.2762
3.01508     10.6753
3.07196     11.0819
3.12885     11.4962
3.18574     11.918
3.24263     12.3475
3.29952     12.7845
3.3564     13.2291
3.41329     13.6814
3.47018     14.1412
3.52707     14.6087
3.58396     15.0837
3.64085     15.5664
3.69773     16.0566
3.75462     16.5545
3.81151     17.0599
3.8684     17.573
3.92529     18.0936
3.98218     18.6219
4.03906     19.1577
4.09595     19.7012
4.15284     20.2523
4.20973     20.8109
4.26662     21.3772
4.3235     21.951
4.38039     22.5325
4.43728     23.1215
4.49417     23.7182
4.55106     24.3225
4.60795     24.9343
4.66483     25.5538
4.72172     26.1809
4.77861     26.8155
4.8355     27.4578
4.89239     28.1077
4.94927     28.7651
5.00616     29.4302
5.06305     30.1029
5.11994     30.7831
5.17683     31.471
5.23372     32.1665
5.2906     32.8695
5.34749     33.5802
5.40438     34.2985
5.46127     35.0244
5.51816     35.7578
5.57505     36.4989
5.63193     37.2476
5.68882     38.0039
5.74571     38.7677
5.8026     39.5392
5.85949     40.3183
5.91637     41.1049
5.97326     41.8992
6.03015     42.701
6.08704     43.5105
6.14393     44.3275
6.20082     45.152
6.2577     45.9842
6.31459     46.8238
6.37148     47.6709
6.42837     48.5256
6.48526     49.3877
6.54215     50.2576
6.59903     51.1342
6.65592     52.0187
6.71281     52.9094
6.7697     53.8082
6.82659     54.7135
6.88347     55.6254
6.94036     56.5439
6.99725     57.4693
7.05414     58.3999
7.11103     59.3366
7.16792     60.2787
7.2248     61.2261
7.28169     62.1761
7.33858     63.1293
7.39547     64.0867
7.45236     65.0475
7.50924     66.0098
7.56613     66.9724
7.62302     67.9365
7.67991     68.8983
7.7368     69.8587
7.79369     70.8187
7.85057     71.7697
7.90746     72.7174
7.96435     73.658
8.02124     74.5909
8.07813     75.5156
8.13502     76.4316
8.1919     77.3415
8.24879     78.2337
8.30568     79.1128
8.36257     79.98
8.41946     80.833
8.47634     81.6669
8.53323     82.477
8.59012     83.2774
8.64701     84.0524
8.7039     84.813
8.76079     85.5568
8.81767     86.2756
8.87456     86.9728
8.93145     87.6547
8.98834     88.3051
9.04523     88.9278
9.10211     89.518
9.159     90.1021
9.21589     90.6637
9.27278     91.2043
9.32967     91.7162
9.38656     92.2053
9.44344     92.6783
9.50033     93.1223
9.55722     93.5451
9.61411     93.9557
9.671     94.3338
9.72789     94.7029
9.78477     95.0495
9.84166     95.3754
9.89855     95.6813
9.95544     95.9716
10.0123     96.2494
10.0692     96.5013
10.1261     96.7455
10.183     96.9764
10.2399     97.19
10.2968     97.3939
10.3537     97.5849
10.4105     97.7685
10.4674     97.931
10.5243     98.0852
10.5812     98.2314
10.6381     98.3682
10.695     98.4924
10.7519     98.6104
10.8088     98.7195
10.8656     98.8178
10.9225     98.9132
10.9794     98.9992
11.0363     99.083
11.0932     99.1578
11.1501     99.2279
11.207     99.295
11.2639     99.3498
11.3208     99.4056
11.3776     99.454
11.4345     99.4994
11.4914     99.5431
11.5483     99.5787
11.6052     99.6124
11.6621     99.6471
11.719     99.6801
11.7759     99.7051
11.8327     99.7302
11.8896     99.7532
11.9465     99.7751
12.0034     99.7958
12.0603     99.8136
12.1172     99.831
12.1741     99.8476
12.231     99.8621
12.2879     99.873
12.3447     99.8841
12.4016     99.8939
12.4585     99.9031
12.5154     99.9119
12.5723     99.9201
12.6292     99.9267
12.6861     99.9335
12.743     99.9395
12.7998     99.9443
12.8567     99.9491
12.9136     99.954
12.9705     99.9572
13.0274     99.9605
13.0843     99.9636
13.1412     99.9662
13.1981     99.9696
13.255     99.9728
13.3118     99.9757
13.3687     99.9779
13.4256     99.9797
13.4825     99.9813
13.5394     99.9829
13.5963     99.9843
13.6532     99.9856
13.7101     99.9871
13.7669     99.9881
13.8238     99.989
13.8807     99.9896
13.9376     99.9901
13.9945     99.9912
14.0514     99.9918
14.1083     99.9923
14.1652     99.9929
14.2221     99.9933
14.2789     99.9938
14.3358     99.9942
14.3927     99.9945
14.4496     99.9949
14.5065     99.9953
14.5634     99.9956
14.6203     99.9958
14.6772     99.996
14.734     99.9961
14.7909     99.9964
14.8478     99.9966
14.9047     99.9969
14.9616     99.9971
15.0185     99.9974
15.0754     99.9975
15.1323     99.9978
15.1892     99.998
15.246     99.9981
15.3029     99.9982
15.3598     99.9983
15.4167     99.9983
15.4736     99.9984
15.5305     99.9986
15.5874     99.9987
15.6443     99.999
15.7011     99.999
15.758     99.999
15.8149     99.9992
15.8718     99.9992
15.9287     99.9993
15.9856     99.9993
16.0425     99.9993
16.0994     99.9993
16.1563     99.9994
16.2131     99.9994
16.27     99.9995
16.3269     99.9995
16.3838     99.9995
16.4407     99.9995
16.4976     99.9996
16.5545     99.9996
16.6114     99.9996
16.6682     99.9997
16.7251     99.9998
16.782     99.9998
16.8389     99.9998
16.8958     99.9998
16.9527     99.9998
17.0096     99.9999
17.0665     99.9999
17.1234     99.9999
17.1802     99.9999
17.2371     99.9999
17.294     99.9999
17.3509     100
17.4078     100
17.4647     100
17.5216     100
17.5785     100
17.6353     100
