Relation between Centrality and Impact parameter - Ar
b(fm)     Centrality(%)
0     0
0.0533233     0.00343957
0.106647     0.0137583
0.15997     0.0309562
0.213293     0.0550332
0.266616     0.0859893
0.31994     0.123825
0.373263     0.168539
0.426586     0.220133
0.479909     0.278605
0.533233     0.343957
0.586556     0.416188
0.639879     0.495299
0.693202     0.581288
0.746526     0.674156
0.799849     0.773904
0.853172     0.880531
0.906495     0.994037
0.959819     1.11442
1.01314     1.24169
1.06647     1.37583
1.11979     1.51685
1.17311     1.66475
1.22644     1.81953
1.27976     1.98119
1.33308     2.14973
1.3864     2.32515
1.43973     2.50745
1.49305     2.69663
1.54637     2.89268
1.5997     3.09562
1.65302     3.30543
1.70634     3.52212
1.75967     3.7457
1.81299     3.97615
1.86631     4.21348
1.91964     4.45769
1.97296     4.70878
2.02628     4.96674
2.07961     5.23159
2.13293     5.50332
2.18625     5.78192
2.23958     6.06741
2.2929     6.35977
2.34622     6.65902
2.39955     6.96514
2.45287     7.27814
2.50619     7.59802
2.55952     7.92478
2.61284     8.25842
2.66616     8.59893
2.71949     8.94633
2.77281     9.30061
2.82613     9.66176
2.87946     10.0298
2.93278     10.4047
2.9861     10.7865
3.03943     11.1752
3.09275     11.5707
3.14607     11.9732
3.1994     12.3825
3.25272     12.7987
3.30604     13.2217
3.35937     13.6517
3.41269     14.0885
3.46601     14.5322
3.51934     14.9828
3.57266     15.4402
3.62598     15.9046
3.67931     16.3758
3.73263     16.8539
3.78595     17.3389
3.83927     17.8308
3.8926     18.3295
3.94592     18.8351
3.99924     19.3476
4.05257     19.867
4.10589     20.3932
4.15921     20.9264
4.21254     21.4664
4.26586     22.0133
4.31918     22.567
4.37251     23.1277
4.42583     23.6952
4.47915     24.2696
4.53248     24.8509
4.5858     25.4391
4.63912     26.0341
4.69245     26.6361
4.74577     27.2449
4.79909     27.8605
4.85242     28.4831
4.90574     29.1126
4.95906     29.7489
5.01239     30.3921
5.06571     31.0422
5.11903     31.6991
5.17236     32.363
5.22568     33.0337
5.279     33.7113
5.33233     34.3957
5.38565     35.0871
5.43897     35.7853
5.4923     36.4904
5.54562     37.2024
5.59894     37.9213
5.65227     38.647
5.70559     39.3797
5.75891     40.1192
5.81224     40.8655
