Relation between Centrality and Impact parameter - Ca
b(fm)     Centrality(%)
0     0
0.0568882     0.00380061
0.113776     0.0152024
0.170665     0.0342055
0.227553     0.0608098
0.284441     0.0950153
0.341329     0.136822
0.398218     0.18623
0.455106     0.243239
0.511994     0.30785
0.568882     0.380061
0.62577     0.459874
0.682659     0.547288
0.739547     0.642303
0.796435     0.74492
0.853323     0.855138
0.910211     0.972957
0.9671     1.09838
1.02399     1.2314
1.08088     1.37202
1.13776     1.52024
1.19465     1.67607
1.25154     1.8395
1.30843     2.01052
1.36532     2.18915
1.42221     2.37538
1.47909     2.56921
1.53598     2.77065
1.59287     2.97968
1.64976     3.19631
1.70665     3.42055
1.76353     3.65239
1.82042     3.89183
1.87731     4.13887
1.9342     4.39351
1.99109     4.65575
2.04798     4.92559
2.10486     5.20304
2.16175     5.48808
2.21864     5.78073
2.27553     6.08098
2.33242     6.38883
2.38931     6.70428
2.44619     7.02733
2.50308     7.35799
2.55997     7.69624
2.61686     8.0421
2.67375     8.39555
2.73063     8.75661
2.78752     9.12527
2.84441     9.50153
2.9013     9.88539
2.95819     10.2769
3.01508     10.6759
3.07196     11.0826
3.12885     11.4969
3.18574     11.9187
3.24263     12.3482
3.29952     12.7853
3.3564     13.2299
3.41329     13.6822
3.47018     14.1421
3.52707     14.6096
3.58396     15.0846
3.64085     15.5673
3.69773     16.0576
3.75462     16.5555
3.81151     17.0609
3.8684     17.574
3.92529     18.0947
3.98218     18.623
4.03906     19.1589
4.09595     19.7024
4.15284     20.2535
4.20973     20.8122
4.26662     21.3784
4.3235     21.9523
4.38039     22.5338
4.43728     23.1229
4.49417     23.7196
4.55106     24.3239
4.60795     24.9358
4.66483     25.5553
4.72172     26.1824
4.77861     26.8171
4.8355     27.4594
4.89239     28.1093
4.94927     28.7668
5.00616     29.4319
5.06305     30.1047
5.11994     30.785
5.17683     31.4729
5.23372     32.1684
5.2906     32.8715
5.34749     33.5822
5.40438     34.3005
5.46127     35.0264
5.51816     35.76
5.57505     36.5011
5.63193     37.2498
5.68882     38.0061
5.74571     38.77
5.8026     39.5415
5.85949     40.3207
5.91637     41.1074
5.97326     41.9017
6.03015     42.7035
6.08704     43.5131
6.14393     44.3301
6.20082     45.1548
6.2577     45.987
6.31459     46.8267
6.37148     47.674
6.42837     48.5287
6.48526     49.3908
6.54215     50.2603
6.59903     51.1371
6.65592     52.0216
6.71281     52.9128
6.7697     53.8116
6.82659     54.7169
6.88347     55.6296
6.94036     56.548
6.99725     57.4718
7.05414     58.4027
7.11103     59.3396
7.16792     60.2824
7.2248     61.2292
7.28169     62.1809
7.33858     63.1364
7.39547     64.0936
7.45236     65.0549
7.50924     66.0175
7.56613     66.9797
7.62302     67.945
7.67991     68.908
7.7368     69.8684
7.79369     70.8248
7.85057     71.7778
7.90746     72.7248
7.96435     73.6671
8.02124     74.6045
8.07813     75.5335
8.13502     76.4538
8.1919     77.3585
8.24879     78.2504
8.30568     79.128
8.36257     79.996
8.41946     80.8437
8.47634     81.6763
8.53323     82.4892
8.59012     83.2844
8.64701     84.0671
8.7039     84.8251
8.76079     85.564
8.81767     86.2792
8.87456     86.9784
8.93145     87.6537
8.98834     88.2983
9.04523     88.9276
9.10211     89.5353
9.159     90.1142
9.21589     90.6764
9.27278     91.215
9.32967     91.7315
9.38656     92.2276
9.44344     92.6854
9.50033     93.129
9.55722     93.5536
9.61411     93.9624
9.671     94.3499
9.72789     94.7174
9.78477     95.0654
9.84166     95.3931
9.89855     95.7012
9.95544     95.991
10.0123     96.2683
10.0692     96.5313
10.1261     96.7808
10.183     97.0112
10.2399     97.2243
10.2968     97.4311
10.3537     97.6198
10.4105     97.7954
10.4674     97.9608
10.5243     98.1122
10.5812     98.2499
10.6381     98.383
10.695     98.5076
10.7519     98.6244
10.8088     98.7303
10.8656     98.8294
10.9225     98.9229
10.9794     99.0096
11.0363     99.0914
11.0932     99.1664
11.1501     99.2363
11.207     99.2996
11.2639     99.3582
11.3208     99.4092
11.3776     99.4556
11.4345     99.5007
11.4914     99.5443
11.5483     99.5822
11.6052     99.6174
11.6621     99.6506
11.719     99.6814
11.7759     99.7081
11.8327     99.7336
11.8896     99.7581
11.9465     99.7772
12.0034     99.7969
12.0603     99.8129
12.1172     99.8292
12.1741     99.8438
12.231     99.8574
12.2879     99.8692
12.3447     99.8792
12.4016     99.8893
12.4585     99.8998
12.5154     99.9091
12.5723     99.9174
12.6292     99.9263
12.6861     99.9326
12.743     99.9384
12.7998     99.9442
12.8567     99.9491
12.9136     99.9536
12.9705     99.9575
13.0274     99.9604
13.0843     99.9635
13.1412     99.9669
13.1981     99.9695
13.255     99.9722
13.3118     99.9743
13.3687     99.9758
13.4256     99.9783
13.4825     99.98
13.5394     99.9819
13.5963     99.9835
13.6532     99.9851
13.7101     99.9865
13.7669     99.9874
13.8238     99.9885
13.8807     99.9894
13.9376     99.99
13.9945     99.9908
14.0514     99.9916
14.1083     99.9924
14.1652     99.9928
14.2221     99.9933
14.2789     99.9938
14.3358     99.9943
14.3927     99.9947
14.4496     99.995
14.5065     99.9953
14.5634     99.9955
14.6203     99.9962
14.6772     99.9966
14.734     99.9968
14.7909     99.997
14.8478     99.9971
14.9047     99.9972
14.9616     99.9975
15.0185     99.9978
15.0754     99.9979
15.1323     99.9981
15.1892     99.9981
15.246     99.9982
15.3029     99.9983
15.3598     99.9984
15.4167     99.9984
15.4736     99.9986
15.5305     99.9986
15.5874     99.9988
