Relation between Centrality and Impact parameter - Cu
b(fm)     Centrality(%)
0     0
0.0634441     0.00339826
0.126888     0.0135931
0.190332     0.0305844
0.253776     0.0543722
0.317221     0.0849566
0.380665     0.122337
0.444109     0.166515
0.507553     0.217489
0.570997     0.275259
0.634441     0.339826
0.697885     0.41119
0.761329     0.48935
0.824773     0.574307
0.888218     0.66606
0.951662     0.764609
1.01511     0.869955
1.07855     0.982098
1.14199     1.10104
1.20544     1.22677
1.26888     1.35931
1.33233     1.49863
1.39577     1.64476
1.45921     1.79768
1.52266     1.9574
1.5861     2.12391
1.64955     2.29723
1.71299     2.47733
1.77644     2.66424
1.83988     2.85794
1.90332     3.05844
1.96677     3.26573
2.03021     3.47982
2.09366     3.70071
2.1571     3.92839
2.22054     4.16287
2.28399     4.40415
2.34743     4.65222
2.41088     4.90709
2.47432     5.16876
2.53776     5.43722
2.60121     5.71248
2.66465     5.99454
2.7281     6.28339
2.79154     6.57904
2.85498     6.88148
2.91843     7.19073
2.98187     7.50676
3.04532     7.8296
3.10876     8.15923
3.17221     8.49566
3.23565     8.83888
3.29909     9.1889
3.36254     9.54572
3.42598     9.90934
3.48943     10.2797
3.55287     10.657
3.61631     11.041
3.67976     11.4318
3.7432     11.8294
3.80665     12.2337
3.87009     12.6449
3.93353     13.0629
3.99698     13.4877
4.06042     13.9193
4.12387     14.3577
4.18731     14.8028
4.25076     15.2548
4.3142     15.7136
4.37764     16.1791
4.44109     16.6515
4.50453     17.1306
4.56798     17.6166
4.63142     18.1093
4.69486     18.6089
4.75831     19.1152
4.82175     19.6284
4.8852     20.1483
4.94864     20.675
5.01208     21.2086
5.07553     21.7489
5.13897     22.296
5.20242     22.8499
5.26586     23.4106
5.32931     23.9781
5.39275     24.5525
5.45619     25.1336
5.51964     25.7215
5.58308     26.3162
5.64653     26.9176
5.70997     27.5259
5.77341     28.141
5.83686     28.7629
5.9003     29.3916
5.96375     30.0271
6.02719     30.6693
6.09063     31.3184
6.15408     31.9743
6.21752     32.6369
6.28097     33.3064
6.34441     33.9826
6.40785     34.6657
6.4713     35.3555
6.53474     36.0522
6.59819     36.7556
6.66163     37.4659
6.72508     38.1829
6.78852     38.9067
6.85196     39.6373
6.91541     40.3748
6.97885     41.119
7.0423     41.87
7.10574     42.6278
7.16918     43.3924
7.23263     44.1638
7.29607     44.942
7.35952     45.727
7.42296     46.5188
7.4864     47.3174
7.54985     48.1228
7.61329     48.9349
7.67674     49.7538
7.74018     50.5795
7.80363     51.412
7.86707     52.2511
7.93051     53.0968
7.99396     53.9493
8.0574     54.8081
8.12085     55.6738
8.18429     56.5462
8.24773     57.4245
8.31118     58.3091
8.37462     59.2001
8.43807     60.0962
8.50151     60.9975
