Relation between Centrality and Impact parameter - O
b(fm)     Centrality(%)
0     0
0.0393958     0.00377259
0.0787915     0.0150904
0.118187     0.0339534
0.157583     0.0603615
0.196979     0.0943149
0.236375     0.135813
0.27577     0.184857
0.315166     0.241446
0.354562     0.30558
0.393958     0.377259
0.433353     0.456484
0.472749     0.543254
0.512145     0.637568
0.551541     0.739429
0.590937     0.848834
0.630332     0.965784
0.669728     1.09028
0.709124     1.22232
0.74852     1.36191
0.787915     1.50904
0.827311     1.66371
0.866707     1.82594
0.906103     1.9957
0.945498     2.17301
0.984894     2.35787
1.02429     2.55027
1.06369     2.75022
1.10308     2.95771
1.14248     3.17275
1.18187     3.39534
1.22127     3.62546
1.26066     3.86314
1.30006     4.10836
1.33946     4.36112
1.37885     4.62143
1.41825     4.88928
1.45764     5.16468
1.49704     5.44763
1.53644     5.73812
1.57583     6.03615
1.61523     6.34173
1.65462     6.65486
1.69402     6.97553
1.73341     7.30374
1.77281     7.6395
1.81221     7.98281
1.8516     8.33366
1.891     8.69206
1.93039     9.058
1.96979     9.43149
2.00918     9.81252
2.04858     10.2011
2.08798     10.5972
2.12737     11.0009
2.16677     11.4121
2.20616     11.8309
2.24556     12.2572
2.28495     12.691
2.32435     13.1324
2.36375     13.5813
2.40314     14.0378
2.44254     14.5019
2.48193     14.9734
2.52133     15.4525
2.56073     15.9392
2.60012     16.4334
2.63952     16.9352
2.67891     17.4445
2.71831     17.9613
2.7577     18.4857
2.7971     19.0176
2.8365     19.5571
2.87589     20.1042
2.91529     20.6587
2.95468     21.2208
2.99408     21.7905
3.03347     22.3677
3.07287     22.9525
3.11227     23.5448
3.15166     24.1446
3.19106     24.752
3.23045     25.3669
3.26985     25.9894
3.30924     26.6194
3.34864     27.257
3.38804     27.9021
3.42743     28.5547
3.46683     29.2149
3.50622     29.8826
3.54562     30.5578
3.58502     31.2406
3.62441     31.931
3.66381     32.6289
3.7032     33.3342
3.7426     34.0472
3.78199     34.7676
3.82139     35.4955
3.86079     36.2309
3.90018     36.9738
3.93958     37.724
3.97897     38.4818
4.01837     39.2472
4.05776     40.0195
4.09716     40.7997
4.13656     41.5873
4.17595     42.3822
4.21535     43.1845
4.25474     43.9937
4.29414     44.81
4.33353     45.6335
4.37293     46.4633
4.41233     47.3002
4.45172     48.1445
4.49112     48.9948
4.53051     49.8514
4.56991     50.7142
4.60931     51.5822
4.6487     52.4569
4.6881     53.3362
4.72749     54.2219
4.76689     55.1116
4.80628     56.006
4.84568     56.9038
4.88508     57.8051
4.92447     58.7098
4.96387     59.6161
5.00326     60.5252
5.04266     61.4321
5.08205     62.3411
5.12145     63.2512
5.16085     64.1611
5.20024     65.0673
5.23964     65.974
5.27903     66.8767
5.31843     67.7776
5.35782     68.6781
5.39722     69.5673
5.43662     70.452
5.47601     71.3292
5.51541     72.2004
5.5548     73.0597
5.5942     73.9105
5.6336     74.7519
5.67299     75.584
5.71239     76.4105
5.75178     77.2204
5.79118     78.0228
5.83057     78.8058
5.86997     79.5739
5.90937     80.3254
5.94876     81.0634
5.98816     81.7908
6.02755     82.5
6.06695     83.195
6.10634     83.8711
6.14574     84.5265
6.18514     85.1711
6.22453     85.7971
6.26393     86.4084
6.30332     87.001
6.34272     87.5751
6.38211     88.1323
6.42151     88.6715
6.46091     89.196
6.5003     89.7038
6.5397     90.1952
6.57909     90.6605
6.61849     91.1149
6.65789     91.549
6.69728     91.9744
6.73668     92.3814
6.77607     92.7625
6.81547     93.1421
6.85486     93.4953
6.89426     93.8409
6.93366     94.1731
6.97305     94.4838
7.01245     94.779
7.05184     95.0672
7.09124     95.345
7.13063     95.606
7.17003     95.8539
7.20943     96.0886
7.24882     96.3068
7.28822     96.5162
7.32761     96.7164
7.36701     96.909
7.4064     97.0901
7.4458     97.2593
7.4852     97.4212
7.52459     97.5741
7.56399     97.7145
7.60338     97.8476
7.64278     97.9751
7.68218     98.1016
7.72157     98.2172
7.76097     98.3251
7.80036     98.4305
7.83976     98.529
7.87915     98.6239
7.91855     98.7116
7.95795     98.7937
7.99734     98.8738
8.03674     98.9439
