Relation between Centrality and Impact parameter - Xe
b(fm)     Centrality(%)
0     0
0.0809668     0.00362439
0.161934     0.0144975
0.2429     0.0326195
0.323867     0.0579902
0.404834     0.0906097
0.485801     0.130478
0.566767     0.177595
0.647734     0.231961
0.728701     0.293575
0.809668     0.362439
0.890634     0.438551
0.971601     0.521912
1.05257     0.612521
1.13353     0.71038
1.2145     0.815487
1.29547     0.927843
1.37644     1.04745
1.4574     1.1743
1.53837     1.3084
1.61934     1.44975
1.7003     1.59835
1.78127     1.7542
1.86224     1.9173
1.9432     2.08765
2.02417     2.26524
2.10514     2.45009
2.1861     2.64218
2.26707     2.84152
2.34804     3.04811
2.429     3.26195
2.50997     3.48304
2.59094     3.71137
2.6719     3.94696
2.75287     4.18979
2.83384     4.43987
2.9148     4.6972
2.99577     4.96178
3.07674     5.23361
3.1577     5.51269
3.23867     5.79902
3.31964     6.09259
3.4006     6.39342
3.48157     6.70149
3.56254     7.01681
3.6435     7.33938
3.72447     7.6692
3.80544     8.00627
3.8864     8.35059
3.96737     8.70215
4.04834     9.06097
4.12931     9.42703
4.21027     9.80034
4.29124     10.1809
4.37221     10.5687
4.45317     10.9638
4.53414     11.3661
4.61511     11.7756
4.69607     12.1924
4.77704     12.6165
4.85801     13.0478
4.93897     13.4863
5.01994     13.9321
5.10091     14.3852
5.18187     14.8455
5.26284     15.313
5.34381     15.7878
5.42477     16.2699
5.50574     16.7592
5.58671     17.2557
5.66767     17.7595
5.74864     18.2705
5.82961     18.7888
5.91057     19.3144
5.99154     19.8471
6.07251     20.3872
6.15347     20.9345
6.23444     21.489
6.31541     22.0508
6.39637     22.6198
6.47734     23.1961
6.55831     23.7796
6.63927     24.3704
6.72024     24.9684
6.80121     25.5737
6.88218     26.1862
6.96314     26.806
7.04411     27.433
7.12508     28.0672
7.20604     28.7088
7.28701     29.3575
7.36798     30.0135
7.44894     30.6768
7.52991     31.3473
7.61088     32.0251
7.69184     32.7101
7.77281     33.4023
7.85378     34.1018
7.93474     34.8086
8.01571     35.5226
8.09668     36.2439
8.17764     36.9724
8.25861     37.7081
8.33958     38.4511
8.42054     39.2014
8.50151     39.9589
8.58248     40.7236
8.66344     41.4956
8.74441     42.2748
8.82538     43.0613
8.90634     43.8551
8.98731     44.6561
9.06828     45.4643
9.14924     46.2798
9.23021     47.1025
9.31118     47.9325
9.39215     48.7697
9.47311     49.6142
9.55408     50.466
9.63505     51.3249
9.71601     52.1912
9.79698     53.0646
9.87795     53.9454
9.95891     54.8333
10.0399     55.7286
10.1208     56.631
10.2018     57.5408
10.2828     58.4576
10.3637     59.3817
10.4447     60.3131
10.5257     61.2515
10.6066     62.197
10.6876     63.1497
10.7686     64.1092
10.8495     65.0749
10.9305     66.0474
11.0115     67.0255
11.0924     68.0098
11.1734     68.9997
11.2544     69.9941
11.3353     70.9925
11.4163     71.9949
11.4973     72.9986
11.5782     74.0053
11.6592     75.0107
11.7402     76.0156
11.8211     77.0142
11.9021     78.01
11.9831     79.0013
12.064     79.9817
12.145     80.9497
12.226     81.8968
12.3069     82.8345
12.3879     83.7519
12.4689     84.6516
12.5498     85.5272
12.6308     86.3791
12.7118     87.198
12.7927     87.9903
12.8737     88.7567
12.9547     89.4937
13.0356     90.2012
13.1166     90.875
13.1976     91.5209
13.2785     92.1345
13.3595     92.7164
13.4405     93.2599
13.5215     93.7728
13.6024     94.2545
13.6834     94.715
13.7644     95.142
13.8453     95.5357
13.9263     95.9088
14.0073     96.2595
14.0882     96.5763
14.1692     96.8709
14.2502     97.1436
14.3311     97.4015
14.4121     97.6312
14.4931     97.8455
14.574     98.0408
14.655     98.2211
14.736     98.3876
14.8169     98.5427
14.8979     98.6808
14.9789     98.8079
15.0598     98.9237
15.1408     99.0288
15.2218     99.126
15.3027     99.2136
15.3837     99.2885
15.4647     99.3626
15.5456     99.4269
15.6266     99.4846
15.7076     99.5365
15.7885     99.5848
15.8695     99.6268
15.9505     99.6661
16.0314     99.6987
16.1124     99.7283
16.1934     99.756
16.2743     99.782
16.3553     99.8053
16.4363     99.8258
16.5172     99.8434
16.5982     99.8601
16.6792     99.8737
16.7601     99.8861
16.8411     99.8976
16.9221     99.908
17.003     99.9176
17.084     99.9263
17.165     99.9344
17.2459     99.9407
17.3269     99.9473
17.4079     99.953
17.4888     99.9578
17.5698     99.9629
17.6508     99.9665
17.7317     99.9706
17.8127     99.9736
17.8937     99.9763
17.9746     99.9791
18.0556     99.982
18.1366     99.9838
18.2175     99.9857
18.2985     99.9877
18.3795     99.9897
18.4604     99.9907
18.5414     99.9917
18.6224     99.9928
18.7033     99.9936
18.7843     99.9941
18.8653     99.9947
18.9462     99.9952
19.0272     99.996
19.1082     99.9963
19.1891     99.9968
19.2701     99.9973
19.3511     99.9975
19.432     99.9978
19.513     99.9979
19.594     99.9981
19.6749     99.9983
19.7559     99.9986
19.8369     99.9989
19.9178     99.9991
19.9988     99.9992
20.0798     99.9993
20.1607     99.9994
20.2417     99.9995
20.3227     99.9996
20.4036     99.9997
20.4846     99.9997
20.5656     99.9997
20.6465     99.9997
20.7275     99.9998
20.8085     99.9998
20.8894     99.9998
20.9704     99.9998
21.0514     99.9999
21.1323     99.9999
21.2133     100
21.2943     100
21.3752     100
21.4562     100
21.5372     100
21.6181     100
