Relation between Centrality and Impact parameter - Cu w/ sigmaNN=70mb
b(fm)     Centrality(%)
0     0
0.0634441     0.00340632
0.126888     0.0136253
0.190332     0.0306569
0.253776     0.0545011
0.317221     0.085158
0.380665     0.122627
0.444109     0.16691
0.507553     0.218004
0.570997     0.275912
0.634441     0.340632
0.697885     0.412165
0.761329     0.49051
0.824773     0.575668
0.888218     0.667638
0.951662     0.766422
1.01511     0.872017
1.07855     0.984426
1.14199     1.10365
1.20544     1.22968
1.26888     1.36253
1.33233     1.50219
1.39577     1.64866
1.45921     1.80194
1.52266     1.96204
1.5861     2.12895
1.64955     2.30267
1.71299     2.48321
1.77644     2.67055
1.83988     2.86471
1.90332     3.06569
1.96677     3.27347
2.03021     3.48807
2.09366     3.70948
2.1571     3.9377
2.22054     4.17274
2.28399     4.41459
2.34743     4.66325
2.41088     4.91872
2.47432     5.18101
2.53776     5.45011
2.60121     5.72602
2.66465     6.00875
2.7281     6.29828
2.79154     6.59463
2.85498     6.89779
2.91843     7.20777
2.98187     7.52456
3.04532     7.84816
3.10876     8.17857
3.17221     8.5158
3.23565     8.85983
3.29909     9.21068
3.36254     9.56835
3.42598     9.93282
3.48943     10.3041
3.55287     10.6822
3.61631     11.0671
3.67976     11.4589
3.7432     11.8574
3.80665     12.2627
3.87009     12.6749
3.93353     13.0939
3.99698     13.5197
4.06042     13.9523
4.12387     14.3917
4.18731     14.8379
4.25076     15.291
4.3142     15.7508
4.37764     16.2175
4.44109     16.691
4.50453     17.1713
4.56798     17.6584
4.63142     18.1523
4.69486     18.653
4.75831     19.1605
4.82175     19.6749
4.8852     20.1961
4.94864     20.724
5.01208     21.2588
5.07553     21.8004
5.13897     22.3489
5.20242     22.9041
5.26586     23.4661
5.32931     24.035
5.39275     24.6106
5.45619     25.1931
5.51964     25.7824
5.58308     26.3785
5.64653     26.9814
5.70997     27.5912
5.77341     28.2077
5.83686     28.8311
5.9003     29.4612
5.96375     30.0982
6.02719     30.742
6.09063     31.3926
6.15408     32.05
6.21752     32.7143
6.28097     33.3853
6.34441     34.0632
6.40785     34.7479
6.4713     35.4393
6.53474     36.1376
6.59819     36.8427
6.66163     37.5547
6.72508     38.2734
6.78852     38.9989
6.85196     39.7313
6.91541     40.4705
6.97885     41.2165
7.0423     41.9692
