Relation between Centrality and Impact parameter - O
b(fm)     Centrality(%)
0     0
0.0393958     0.00380218
0.0787915     0.0152087
0.118187     0.0342196
0.157583     0.0608349
0.196979     0.0950545
0.236375     0.136879
0.27577     0.186307
0.315166     0.24334
0.354562     0.307977
0.393958     0.380218
0.433353     0.460064
0.472749     0.547514
0.512145     0.642569
0.551541     0.745228
0.590937     0.855491
0.630332     0.973359
0.669728     1.09883
0.709124     1.23191
0.74852     1.37259
0.787915     1.52087
0.827311     1.67676
0.866707     1.84026
0.906103     2.01135
0.945498     2.19006
0.984894     2.37636
1.02429     2.57027
1.06369     2.77179
1.10308     2.98091
1.14248     3.19763
1.18187     3.42196
1.22127     3.6539
1.26066     3.89343
1.30006     4.14058
1.33946     4.39532
1.37885     4.65767
1.41825     4.92763
1.45764     5.20519
1.49704     5.49035
1.53644     5.78312
1.57583     6.08349
1.61523     6.39147
1.65462     6.70705
1.69402     7.03023
1.73341     7.36102
1.77281     7.69942
1.81221     8.04542
1.8516     8.39902
1.891     8.76023
1.93039     9.12904
1.96979     9.50545
2.00918     9.88947
2.04858     10.2811
2.08798     10.6803
2.12737     11.0872
2.16677     11.5016
2.20616     11.9236
2.24556     12.3533
2.28495     12.7905
2.32435     13.2354
2.36375     13.6879
2.40314     14.1479
2.44254     14.6156
2.48193     15.0909
2.52133     15.5737
2.56073     16.0642
2.60012     16.5623
2.63952     17.068
2.67891     17.5813
2.71831     18.1022
2.7577     18.6307
2.7971     19.1668
2.8365     19.7105
2.87589     20.2618
2.91529     20.8207
2.95468     21.3873
2.99408     21.9614
3.03347     22.5431
3.07287     23.1325
3.11227     23.7294
3.15166     24.334
3.19106     24.9461
3.23045     25.5658
3.26985     26.1932
3.30924     26.8282
3.34864     27.4707
3.38804     28.1209
3.42743     28.7786
3.46683     29.444
3.50622     30.1169
3.54562     30.7974
3.58502     31.4856
3.62441     32.1814
3.66381     32.8847
3.7032     33.5956
3.7426     34.314
3.78199     35.0401
3.82139     35.7737
3.86079     36.5149
3.90018     37.2635
3.93958     38.0196
3.97897     38.7833
4.01837     39.5546
4.05776     40.333
4.09716     41.1192
4.13656     41.9128
4.17595     42.7137
4.21535     43.5221
4.25474     44.3373
4.29414     45.1597
4.33353     45.9892
4.37293     46.825
4.41233     47.668
4.45172     48.5184
4.49112     49.3747
4.53051     50.2372
4.56991     51.1056
