Relation between Centrality and Impact parameter - Xe
b(fm)     Centrality(%)
0     0
0.0809668     0.00363148
0.161934     0.0145259
0.2429     0.0326833
0.323867     0.0581036
0.404834     0.0907869
0.485801     0.130733
0.566767     0.177942
0.647734     0.232415
0.728701     0.29415
0.809668     0.363148
0.890634     0.439409
0.971601     0.522933
1.05257     0.61372
1.13353     0.71177
1.2145     0.817083
1.29547     0.929658
1.37644     1.0495
1.4574     1.1766
1.53837     1.31096
1.61934     1.45259
1.7003     1.60148
1.78127     1.75764
1.86224     1.92105
1.9432     2.09173
2.02417     2.26967
2.10514     2.45488
2.1861     2.64735
2.26707     2.84708
2.34804     3.05407
2.429     3.26833
2.50997     3.48985
2.59094     3.71863
2.6719     3.95468
2.75287     4.19799
2.83384     4.44856
2.9148     4.7064
2.99577     4.97149
3.07674     5.24385
3.1577     5.52348
3.23867     5.81036
3.31964     6.10451
3.4006     6.40593
3.48157     6.7146
3.56254     7.03054
3.6435     7.35374
3.72447     7.68421
3.80544     8.02193
3.8864     8.36693
3.96737     8.71918
4.04834     9.07869
4.12931     9.44547
4.21027     9.81952
4.29124     10.2008
4.37221     10.5894
4.45317     10.9852
4.53414     11.3883
4.61511     11.7987
4.69607     12.2163
4.77704     12.6412
4.85801     13.0733
4.93897     13.5127
5.01994     13.9594
5.10091     14.4133
5.18187     14.8745
5.26284     15.343
5.34381     15.8187
5.42477     16.3017
5.50574     16.792
5.58671     17.2895
5.66767     17.7942
5.74864     18.3063
5.82961     18.8256
5.91057     19.3521
5.99154     19.886
6.07251     20.4271
6.15347     20.9754
6.23444     21.531
6.31541     22.0939
6.39637     22.6641
6.47734     23.2415
6.55831     23.8261
6.63927     24.4181
6.72024     25.0173
6.80121     25.6237
6.88218     26.2374
6.96314     26.8584
7.04411     27.4867
7.12508     28.1222
7.20604     28.7649
7.28701     29.415
7.36798     30.0723
7.44894     30.7368
7.52991     31.4087
7.61088     32.0877
7.69184     32.7741
7.77281     33.4677
7.85378     34.1686
7.93474     34.8767
8.01571     35.5921
8.09668     36.3148
8.17764     37.0447
8.25861     37.7819
8.33958     38.5263
8.42054     39.2781
8.50151     40.037
8.58248     40.8033
8.66344     41.5768
8.74441     42.3576
8.82538     43.1456
8.90634     43.9409
8.98731     44.7434
9.06828     45.5533
9.14924     46.3703
9.23021     47.1947
9.31118     48.0263
9.39215     48.8652
9.47311     49.7113
9.55408     50.5647
9.63505     51.4254
9.71601     52.2933
9.79698     53.1685
9.87795     54.0509
9.95891     54.9406
10.0399     55.8376
10.1208     56.7418
10.2018     57.6533
10.2828     58.5719
10.3637     59.4978
10.4447     60.431
10.5257     61.3713
10.6066     62.3186
10.6876     63.273
10.7686     64.2344
10.8495     65.2018
10.9305     66.176
11.0115     67.1559
11.0924     68.1418
11.1734     69.1334
11.2544     70.1291
11.3353     71.1289
11.4163     72.1326
11.4973     73.1374
11.5782     74.1451
11.6592     75.1507
11.7402     76.1558
11.8211     77.1545
11.9021     78.1505
11.9831     79.1414
12.064     80.1215
12.145     81.0886
12.226     82.0342
12.3069     82.9697
12.3879     83.8851
12.4689     84.7818
12.5498     85.6545
12.6308     86.5028
12.7118     87.3174
12.7927     88.1062
12.8737     88.869
12.9547     89.6019
13.0356     90.3047
13.1166     90.9748
13.1976     91.6158
13.2785     92.2245
13.3595     92.8009
13.4405     93.3398
13.5215     93.8479
13.6024     94.3261
13.6834     94.7818
13.7644     95.2045
13.8453     95.5939
13.9263     95.9632
14.0073     96.3104
14.0882     96.6236
14.1692     96.9147
14.2502     97.1832
14.3311     97.4379
14.4121     97.6652
14.4931     97.8771
14.574     98.0694
14.655     98.2472
14.736     98.4109
14.8169     98.5642
14.8979     98.7005
14.9789     98.8258
15.0598     98.9405
15.1408     99.0445
15.2218     99.1398
15.3027     99.2261
15.3837     99.3002
15.4647     99.373
15.5456     99.4367
15.6266     99.4933
15.7076     99.5443
15.7885     99.592
15.8695     99.6334
15.9505     99.6719
16.0314     99.7042
16.1124     99.7335
16.1934     99.7606
16.2743     99.7858
16.3553     99.8088
16.4363     99.8287
16.5172     99.8459
16.5982     99.8622
16.6792     99.8757
16.7601     99.888
16.8411     99.8994
16.9221     99.9095
17.003     99.919
17.084     99.9276
17.165     99.9355
17.2459     99.9418
17.3269     99.9482
17.4079     99.9538
17.4888     99.9585
17.5698     99.9635
17.6508     99.9672
17.7317     99.9712
17.8127     99.9742
17.8937     99.9768
17.9746     99.9794
18.0556     99.9821
18.1366     99.984
18.2175     99.9859
18.2985     99.9878
18.3795     99.9898
18.4604     99.9908
18.5414     99.9918
18.6224     99.9929
18.7033     99.9938
18.7843     99.9942
18.8653     99.9948
18.9462     99.9953
19.0272     99.9961
19.1082     99.9965
19.1891     99.9969
19.2701     99.9974
19.3511     99.9976
19.432     99.9979
19.513     99.998
19.594     99.9981
19.6749     99.9983
19.7559     99.9987
19.8369     99.9989
19.9178     99.9991
19.9988     99.9992
20.0798     99.9993
20.1607     99.9994
20.2417     99.9995
20.3227     99.9996
20.4036     99.9997
20.4846     99.9997
20.5656     99.9997
20.6465     99.9997
20.7275     99.9998
20.8085     99.9998
20.8894     99.9998
20.9704     99.9998
21.0514     99.9999
21.1323     99.9999
21.2133     100
21.2943     100
21.3752     100
21.4562     100
21.5372     100
21.6181     100
